"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1957-12",97.37067,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-01",97.42961,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-02",97.56985,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-03",97.74149,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-04",97.90089,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-05",98.08184,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.31738,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-07",98.64598,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.04149,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-09",99.44946,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-10",99.83152,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-11",100.127,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-12",100.2393,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-01",100.1704,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-02",100.0033,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-03",99.83012,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-04",99.70341,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-05",99.61285,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-06",99.65888,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-07",99.93895,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-08",100.5553,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.5453,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-10",102.7092,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-11",103.7411,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-12",104.3934,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-01",104.4983,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-02",104.1338,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-03",103.5454,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-04",102.9056,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-05",102.3287,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-06",101.8673,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-07",101.5331,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-08",101.3012,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-09",101.1367,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-10",100.9904,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-11",100.8678,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-12",100.823,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-01",100.8394,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-02",100.863,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-03",100.7809,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-04",100.5123,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-05",100.0474,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-06",99.41261,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-07",98.63077,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-08",97.80254,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-09",97.10952,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-10",96.65203,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-11",96.45425,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-12",96.43626,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-01",96.51309,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-02",96.65651,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-03",96.84731,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-04",97.07291,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-05",97.26328,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-06",97.40797,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-07",97.58261,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-08",97.82053,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-09",98.08325,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-10",98.34766,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-11",98.59461,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-12",98.81345,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-01",99.02537,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-02",99.30144,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-03",99.64927,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-04",100.0256,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-05",100.3899,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-06",100.737,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-07",101.1184,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-08",101.5197,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-09",101.893,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-10",102.1766,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-11",102.3176,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-12",102.335,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-01",102.2565,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-02",102.1283,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-03",102.017,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-04",101.9877,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-05",102.0427,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-06",102.1772,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-07",102.3196,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-08",102.4025,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-09",102.3381,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-10",102.0653,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-11",101.6134,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-12",101.0534,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-01",100.507,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-02",100.0037,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-03",99.51809,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-04",99.06743,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-05",98.73595,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-06",98.54834,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-07",98.49429,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-08",98.573,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-09",98.7825,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-10",99.10638,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-11",99.49739,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-12",99.93169,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-01",100.3489,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-02",100.67,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-03",100.8164,
